,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
36,Monaco ,WESTERN EUROPE                     ,32543,2,16271.5,205.0,7.75,5.43,27000.0,99.0,1035.6,0.0,0.0,100.0,,9.19,12.91,0.17,,
18,Gibraltar ,WESTERN EUROPE                     ,27928,7,3989.7,171.43,0.0,5.13,17500.0,,877.7,0.0,0.0,100.0,,10.74,9.31,,,
34,Malta ,WESTERN EUROPE                     ,400214,316,1266.5,62.28,2.07,3.89,17700.0,92.8,505.0,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74
20,Guernsey ,WESTERN EUROPE                     ,65409,78,838.6,64.1,3.84,4.71,20000.0,,842.4,,,,3.0,8.81,10.01,0.03,0.1,0.87
26,Jersey ,WESTERN EUROPE                     ,91084,116,785.2,60.34,2.76,5.24,24800.0,,811.3,0.0,0.0,100.0,3.0,9.3,9.28,0.05,0.02,0.93
43,San Marino ,WESTERN EUROPE                     ,29251,61,479.5,0.0,10.98,5.73,34600.0,96.0,704.3,16.67,0.0,83.33,,10.02,8.17,,,
37,Netherlands ,WESTERN EUROPE                     ,16491461,41526,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.97,72.32,3.0,10.9,8.68,0.021,0.244,0.736
6,Belgium ,WESTERN EUROPE                     ,10379067,30528,340.0,0.22,1.23,4.68,29100.0,98.0,462.6,23.28,0.4,76.32,3.0,10.38,10.27,0.01,0.24,0.749
53,United Kingdom ,WESTERN EUROPE                     ,60609153,244820,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,23.46,0.21,76.33,3.0,10.71,10.13,0.005,0.237,0.758
17,Germany ,WESTERN EUROPE                     ,82422299,357021,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,33.85,0.59,65.56,3.0,8.25,10.62,0.009,0.296,0.695
30,Liechtenstein ,WESTERN EUROPE                     ,33987,160,212.4,0.0,4.85,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,4.0,10.21,7.18,0.06,0.39,0.55
25,Italy ,WESTERN EUROPE                     ,58133509,301230,193.0,2.52,2.07,5.94,26700.0,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688
32,Luxembourg ,WESTERN EUROPE                     ,474413,2586,183.5,0.0,8.97,4.81,55100.0,100.0,515.4,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86
49,Switzerland ,WESTERN EUROPE                     ,7523934,41290,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.61,88.97,3.0,9.71,8.49,0.015,0.34,0.645
1,Andorra ,WESTERN EUROPE                     ,71201,468,152.1,0.0,6.6,4.05,19000.0,100.0,497.2,2.22,0.0,97.78,3.0,8.71,6.25,,,
35,Moldova ,C.W. OF IND. STATES ,4466706,33843,132.0,0.0,-0.26,40.42,1800.0,99.1,208.1,55.3,10.79,33.91,,15.7,12.64,0.213,0.233,0.555
24,Isle of Man ,WESTERN EUROPE                     ,75441,572,131.9,27.97,5.36,5.93,21000.0,,676.0,9.0,0.0,91.0,3.0,11.05,11.19,0.01,0.13,0.86
