,country,stability,rights,health,safety,climate,costs,popularity,area,population,pop_per_km_sq,male_life_expectancy,female_life_expectancy,birth_rate,death_rate
0,Australia,86.0,92.0,87.0,100.0,90.0,23.0,41.0,,,,,,,
1,Hong Kong,77.0,85.0,100.0,97.0,49.0,61.0,52.0,,,,,,,
2,San Marino,81.0,82.0,91.0,87.0,62.0,61.0,46.0,,,,,,,
3,Macao,90.0,71.0,100.0,93.0,48.0,61.0,50.0,,,,,,,
4,Switzerland,91.0,99.0,93.0,99.0,34.0,44.0,40.0,,,,,,,
5,Malta,86.0,72.0,91.0,92.0,75.0,41.0,44.0,,,,,,,
6,Bermuda,89.0,78.0,96.0,93.0,68.0,34.0,35.0,,,,,,,
7,Luxembourg,93.0,99.0,85.0,100.0,25.0,46.0,42.0,,,,,,,
8,Singapore,83.0,89.0,79.0,100.0,45.0,55.0,42.0,,,,,,,
9,Spain,64.0,73.0,87.0,95.0,74.0,43.0,68.0,,,,,,,
10,Japan,87.0,86.0,92.0,97.0,54.0,27.0,41.0,,,,,,,
11,Portugal,80.0,77.0,82.0,93.0,68.0,44.0,38.0,,,,,,,
12,South Korea,81.0,75.0,92.0,95.0,56.0,42.0,41.0,,,,,,,
13,Germany,82.0,94.0,96.0,95.0,21.0,44.0,42.0,,,,,,,
14,Austria,83.0,91.0,97.0,98.0,27.0,37.0,43.0,,,,,,,
15,Norway,89.0,99.0,90.0,99.0,17.0,42.0,37.0,,,,,,,
16,Cyprus,67.0,68.0,77.0,93.0,75.0,53.0,48.0,,,,,,,
17,New Zealand,91.0,100.0,81.0,95.0,36.0,26.0,37.0,,,,,,,
18,Sweden,87.0,99.0,85.0,96.0,20.0,40.0,37.0,,,,,,,
19,France,72.0,83.0,91.0,93.0,41.0,29.0,71.0,,,,,,,
20,Finland,85.0,100.0,87.0,93.0,17.0,46.0,32.0,,,,,,,
21,Canada,85.0,92.0,78.0,97.0,33.0,37.0,45.0,,,,,,,
22,United States,63.0,81.0,71.0,85.0,66.0,37.0,71.0,,,,,,,
23,Netherlands,84.0,98.0,83.0,96.0,21.0,40.0,36.0,,,,,,,
24,Denmark,86.0,100.0,85.0,95.0,17.0,35.0,41.0,,,,,,,
25,Uruguay,67.0,79.0,75.0,82.0,78.0,47.0,29.0,,,,,,,
26,United Arab Emirates,82.0,65.0,65.0,93.0,62.0,67.0,28.0,,,,,,,
27,Slovenia,80.0,73.0,83.0,96.0,40.0,57.0,33.0,,,,,,,
28,Qatar,77.0,60.0,62.0,94.0,61.0,70.0,38.0,,,,,,,
29,Croatia,67.0,58.0,80.0,91.0,57.0,67.0,38.0,,,,,,,
30,Greece,60.0,61.0,89.0,88.0,70.0,44.0,45.0,,,,,,,
31,Israel,57.0,72.0,84.0,81.0,81.0,36.0,30.0,,,,,,,
32,Czechia,78.0,73.0,90.0,93.0,22.0,49.0,40.0,,,,,,,
33,Italy,65.0,65.0,87.0,89.0,57.0,30.0,59.0,,,,,,,
34,Iceland,82.0,92.0,87.0,97.0,7.0,36.0,33.0,,,,,,,
35,Chile,66.0,79.0,68.0,87.0,47.0,54.0,33.0,,,,,,,
36,Belgium,75.0,87.0,88.0,92.0,20.0,32.0,40.0,,,,,,,
37,Poland,69.0,67.0,79.0,93.0,27.0,58.0,52.0,,,,,,,
38,Estonia,80.0,89.0,81.0,92.0,17.0,43.0,26.0,,,,,,,
39,Hungary,70.0,57.0,81.0,88.0,43.0,56.0,48.0,,,,,,,
40,Ireland,84.0,90.0,82.0,96.0,2.0,35.0,36.0,,,,,,,
41,Bulgaria,68.0,51.0,81.0,85.0,49.0,62.0,39.0,,,,,,,
42,United Kingdom,76.0,91.0,78.0,95.0,6.0,34.0,44.0,,,,,,,
43,Latvia,74.0,74.0,77.0,87.0,19.0,55.0,23.0,,,,,,,
44,Slovakia,73.0,67.0,77.0,89.0,35.0,42.0,34.0,,,,,,,
45,Lithuania,77.0,75.0,82.0,88.0,20.0,43.0,23.0,,,,,,,
46,Bahrain,59.0,45.0,61.0,92.0,63.0,72.0,29.0,,,,,,,
47,Oman,68.0,51.0,64.0,92.0,43.0,68.0,32.0,,,,,,,
48,North Macedonia,56.0,48.0,70.0,87.0,57.0,64.0,36.0,,,,,,,
49,Romania,64.0,57.0,73.0,88.0,37.0,68.0,24.0,,,,,,,
50,Saudi Arabia,53.0,45.0,61.0,90.0,52.0,76.0,44.0,,,,,,,
51,Malaysia,70.0,58.0,61.0,91.0,44.0,46.0,44.0,,,,,,,
52,China,69.0,37.0,67.0,90.0,54.0,38.0,73.0,,,,,,,
53,Costa Rica,69.0,69.0,64.0,73.0,44.0,46.0,32.0,,,,,,,
54,Georgia,46.0,63.0,67.0,88.0,45.0,58.0,36.0,,,,,,,
55,Maldives,64.0,39.0,72.0,87.0,63.0,59.0,18.0,,,,,,,
56,Samoa,76.0,63.0,50.0,83.0,46.0,58.0,14.0,,,,,,,
57,Kuwait,66.0,47.0,66.0,88.0,32.0,74.0,26.0,,,,,,,
58,Paraguay,57.0,37.0,51.0,76.0,78.0,66.0,35.0,,,,,,,
59,Montenegro,50.0,52.0,68.0,85.0,53.0,61.0,25.0,,,,,,,
60,Thailand,61.0,40.0,65.0,96.0,46.0,55.0,42.0,,,,,,,
61,Argentina,41.0,44.0,79.0,78.0,78.0,41.0,34.0,,,,,,,
62,Morocco,56.0,40.0,53.0,87.0,81.0,45.0,37.0,,,,,,,
63,Peru,55.0,46.0,54.0,84.0,70.0,50.0,34.0,,,,,,,
64,Tunisia,38.0,49.0,60.0,82.0,79.0,47.0,40.0,,,,,,,
65,Sri Lanka,52.0,43.0,62.0,92.0,57.0,56.0,33.0,,,,,,,
66,Albania,58.0,43.0,64.0,84.0,55.0,57.0,26.0,,,,,,,
67,Ecuador,61.0,36.0,60.0,88.0,57.0,61.0,25.0,,,,,,,
68,Mongolia,59.0,44.0,60.0,72.0,44.0,70.0,31.0,,,,,,,
69,Bosnia and Herzegovina,47.0,38.0,69.0,86.0,49.0,70.0,26.0,,,,,,,
70,Armenia,36.0,51.0,70.0,93.0,50.0,57.0,23.0,,,,,,,
71,Jordan,50.0,48.0,60.0,77.0,52.0,63.0,28.0,,,,,,,
72,Turkey,31.0,38.0,64.0,87.0,62.0,59.0,50.0,,,,,,,
73,Serbia,54.0,44.0,71.0,87.0,51.0,57.0,11.0,,,,,,,
74,Senegal,64.0,47.0,33.0,91.0,52.0,56.0,35.0,,,,,,,
75,South Africa,47.0,54.0,31.0,43.0,95.0,49.0,40.0,,,,,,,
