,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
32,Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040,608.3,8.68,-0.9,15.03,11400.0,85.6,289.3,49.26,2.96,47.78,2.0,15.43,6.86,0.059,0.298,0.643
33,Mayotte ,SUB-SAHARAN AFRICA                 ,201234,374,538.1,49.52,6.78,62.4,2600.0,,49.7,,,,2.0,40.95,7.7,,,
40,Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,328.4,0.0,0.0,91.23,1300.0,70.4,2.7,40.54,12.16,47.3,3.0,40.37,16.09,0.401,0.229,0.37
10,Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170,318.4,15.67,0.0,74.93,700.0,56.5,24.5,35.87,23.32,40.81,2.0,36.93,8.2,0.4,0.04,0.56
39,Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517,312.9,8.22,0.0,7.78,5800.0,88.9,380.9,13.6,1.2,85.2,2.0,18.9,5.49,0.08,0.19,0.73
5,Burundi ,SUB-SAHARAN AFRICA                 ,8090068,27830,290.7,0.0,-0.06,69.29,600.0,51.6,3.4,35.05,14.02,50.93,2.0,42.22,13.46,0.463,0.203,0.334
42,Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,193.2,20.88,-2.72,43.11,1200.0,79.3,36.2,6.25,48.96,44.79,2.0,40.25,6.47,0.167,0.148,0.684
44,Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,179.2,107.91,-5.69,15.53,7800.0,58.0,262.4,2.22,13.33,84.45,2.0,16.03,6.29,0.032,0.304,0.665
20,"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564,11300,145.3,0.71,1.57,72.02,1700.0,40.1,26.8,25.0,0.5,74.5,2.0,39.37,12.25,0.308,0.142,0.549
38,Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,0.09,0.26,98.8,900.0,68.0,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.269,0.487,0.244
53,Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,0.0,0.0,67.83,1400.0,69.9,3.6,25.88,10.65,63.47,2.0,47.35,12.24,0.311,0.222,0.469
29,Malawi ,SUB-SAHARAN AFRICA                 ,13013926,118480,109.8,0.0,0.0,103.32,600.0,62.7,7.9,23.38,1.49,75.13,2.0,43.13,19.33,0.342,0.158,0.499
7,Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033,104.4,23.93,-12.07,47.77,1400.0,76.6,169.6,9.68,0.5,89.82,3.0,24.87,6.55,0.121,0.219,0.66
51,Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,0.1,0.0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,2.0,37.01,9.83,0.395,0.204,0.401
21,Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,0.23,-0.64,51.43,2200.0,74.8,14.4,16.26,9.67,74.07,2.0,30.52,9.72,0.366,0.246,0.387
45,Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,83.7,0.56,0.0,143.64,500.0,31.4,4.0,6.98,0.89,92.13,2.0,45.76,23.03,0.49,0.31,0.21
15,Egypt ,NORTHERN AFRICA                    ,78887007,1001450,78.8,0.24,-0.22,32.59,4000.0,57.7,131.8,2.87,0.48,96.65,1.0,22.94,5.23,0.149,0.357,0.493
34,Morocco ,NORTHERN AFRICA                    ,33241259,446550,74.4,0.41,-0.98,41.62,4000.0,51.7,40.4,19.61,2.17,78.22,,21.98,5.58,0.217,0.357,0.426
2,Benin ,SUB-SAHARAN AFRICA                 ,7862944,112620,69.8,0.11,0.0,85.0,1100.0,40.9,9.7,18.08,2.4,79.52,2.0,38.85,12.22,0.316,0.138,0.546
25,Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,30355,66.6,0.0,-0.74,84.23,3000.0,84.8,23.7,10.87,0.13,89.0,3.0,24.75,28.71,0.163,0.443,0.394
18,Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,0.0,0.0,95.32,700.0,42.7,8.2,10.71,0.75,88.54,2.0,37.98,14.86,0.475,0.099,0.426
49,Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,65.5,0.0,0.0,69.27,4900.0,81.6,30.8,10.35,0.7,88.95,2.5,27.41,29.74,0.119,0.515,0.366
52,Tunisia ,NORTHERN AFRICA                    ,10175014,163610,62.2,0.7,-0.57,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,3.0,15.52,5.13,0.132,0.318,0.55
43,Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,0.27,0.2,55.51,1600.0,40.2,22.2,12.78,0.21,87.01,2.0,32.78,9.42,0.172,0.209,0.619
24,Kenya ,SUB-SAHARAN AFRICA                 ,34707817,582650,59.6,0.09,-0.1,61.47,1000.0,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651
13,Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,322460,54.8,0.16,-0.07,90.83,1400.0,50.9,14.6,9.75,13.84,76.41,2.0,35.11,14.84,0.279,0.171,0.55
4,Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7,0.0,0.0,97.57,1100.0,26.6,7.0,14.43,0.19,85.38,2.0,45.62,15.6,0.322,0.196,0.482
23,Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120,39.9,0.97,-1.57,107.17,800.0,42.4,7.4,10.67,8.82,80.51,2.0,37.22,16.53,0.62,0.12,0.26
50,Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,0.15,-2.06,98.54,600.0,78.2,4.0,4.52,1.08,94.4,,37.71,16.39,0.432,0.172,0.396
17,Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320,39.5,1.84,0.0,74.87,700.0,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,0.102,0.254,0.643
22,Guinea ,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,2.0,41.76,15.48,0.237,0.362,0.401
6,Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,0.08,0.0,68.26,1800.0,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382
47,South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,0.23,-0.29,61.81,10700.0,86.4,107.0,12.08,0.79,87.13,1.0,18.2,22.0,0.025,0.303,0.671
28,Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,587040,31.7,0.82,0.0,76.83,800.0,68.9,3.6,5.07,1.03,93.91,2.0,41.41,11.11,0.276,0.165,0.559
56,Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,0.0,0.0,67.69,1900.0,90.7,26.8,8.32,0.34,91.34,2.0,28.01,21.84,0.179,0.243,0.579
26,Liberia ,SUB-SAHARAN AFRICA                 ,3042004,111370,27.3,0.52,0.0,128.87,1000.0,57.5,2.3,3.95,2.28,93.77,2.0,44.77,23.1,0.769,0.054,0.177
11,"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,0.0,0.0,94.69,700.0,65.5,0.2,2.96,0.52,96.52,2.0,43.69,13.27,0.55,0.11,0.34
35,Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590,24.6,0.31,0.0,130.79,1200.0,47.8,3.5,5.1,0.3,94.6,2.0,35.18,21.35,0.262,0.348,0.39
14,Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,0.04,0.0,99.96,1.0,39.53,19.31,0.179,0.225,0.596
16,Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,1.06,0.0,85.13,2700.0,85.7,18.5,4.63,3.57,91.8,2.0,35.59,15.06,0.03,0.906,0.062
41,Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,18.2,14.53,0.0,19.0,2500.0,97.0,293.3,12.9,0.0,87.1,,12.13,6.53,,,
48,Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,0.03,-0.02,62.5,1900.0,61.1,16.3,6.83,0.18,92.99,2.0,34.53,8.97,0.387,0.203,0.41
55,Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,0.0,0.0,88.29,800.0,80.6,8.2,7.08,0.03,92.9,2.0,41.0,19.93,0.22,0.29,0.489
46,Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,13.9,0.47,5.37,116.7,500.0,37.8,11.3,1.67,0.04,98.29,1.0,45.13,16.63,0.65,0.1,0.25
0,Algeria ,NORTHERN AFRICA                    ,32930091,2381740,13.8,0.04,-0.39,31.0,6000.0,70.0,78.1,3.22,0.25,96.53,1.0,17.14,4.61,0.101,0.6,0.298
12,"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,342000,10.8,0.05,-0.17,93.86,700.0,83.8,3.7,0.51,0.13,99.36,2.0,42.57,12.93,0.062,0.57,0.369
37,Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.9,0.0,-0.67,121.69,800.0,17.6,1.9,3.54,0.01,96.45,1.0,50.73,20.91,0.39,0.17,0.44
