,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
47,Macau ,ASIA (EX. NEAR EAST)         ,453125,28,16183.0,146.43,4.86,4.39,19400.0,94.5,384.9,0.0,0.0,100.0,2.0,8.48,4.47,0.001,0.072,0.927
46,Macau ,ASIA (EX. NEAR EAST)         ,453125,28,16183.0,146.43,4.86,4.39,19400.0,94.5,384.9,0.0,0.0,100.0,2.0,8.48,4.47,0.001,0.072,0.927
66,Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,1.64,0.0,98.36,2.0,9.34,4.28,0.0,0.339,0.661
65,Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,1.64,0.0,98.36,2.0,9.34,4.28,0.0,0.339,0.661
24,Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,1092,6355.7,67.12,5.24,2.97,28800.0,93.5,546.7,5.05,1.01,93.94,2.0,7.29,6.29,0.001,0.092,0.906
23,Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,1092,6355.7,67.12,5.24,2.97,28800.0,93.5,546.7,5.05,1.01,93.94,2.0,7.29,6.29,0.001,0.092,0.906
21,Gaza Strip ,NEAR EAST                          ,1428757,360,3968.8,11.11,1.6,22.93,600.0,,244.3,28.95,21.05,50.0,3.0,39.45,3.8,0.03,0.283,0.687
51,Maldives ,ASIA (EX. NEAR EAST)         ,359008,300,1196.7,214.67,0.0,56.52,3900.0,97.2,90.0,13.33,16.67,70.0,2.0,34.81,7.06,0.2,0.18,0.62
50,Maldives ,ASIA (EX. NEAR EAST)         ,359008,300,1196.7,214.67,0.0,56.52,3900.0,97.2,90.0,13.33,16.67,70.0,2.0,34.81,7.06,0.2,0.18,0.62
4,Bahrain ,NEAR EAST                          ,698585,665,1050.5,24.21,1.05,17.27,16900.0,89.1,281.3,2.82,5.63,91.55,1.0,17.8,4.14,0.005,0.387,0.608
5,Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.4,0.4,-0.71,62.6,1900.0,43.1,7.3,62.11,3.07,34.82,2.0,29.8,8.27,0.199,0.198,0.603
6,Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.4,0.4,-0.71,62.6,1900.0,43.1,7.3,62.11,3.07,34.82,2.0,29.8,8.27,0.199,0.198,0.603
71,Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,24.0,1.0,75.0,2.0,12.56,6.48,0.018,0.259,0.723
70,Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,24.0,1.0,75.0,2.0,12.56,6.48,0.018,0.259,0.723
40,"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,98480,496.0,2.45,0.0,7.05,17800.0,97.9,486.1,17.18,1.95,80.87,3.0,10.0,5.85,0.033,0.403,0.563
