,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
9,Nauru ,OCEANIA                            ,13287,21,632.7,142.86,0.0,9.95,5000.0,,143.0,0.0,0.0,100.0,2.0,24.76,6.7,,,
18,Tuvalu ,OCEANIA                            ,11810,26,454.2,92.31,0.0,20.03,1100.0,,59.3,0.0,0.0,100.0,2.0,22.18,7.11,0.166,0.272,0.562
5,Guam ,OCEANIA                            ,171019,541,316.1,23.2,0.0,6.94,21000.0,99.0,492.0,9.09,16.36,74.55,2.0,18.79,4.48,,,
0,American Samoa ,OCEANIA                            ,57794,199,290.4,58.29,-20.71,9.27,8000.0,97.0,259.5,10.0,15.0,75.0,2.0,22.46,3.27,,,
12,N. Mariana Islands ,OCEANIA                            ,82459,477,172.9,310.69,9.61,7.11,12500.0,97.0,254.7,13.04,4.35,82.61,2.0,19.43,2.29,,,
8,"Micronesia, Fed. St. ",OCEANIA                            ,108004,702,153.9,870.66,-20.99,30.21,2000.0,89.0,114.8,5.71,45.71,48.58,2.0,24.68,4.75,0.289,0.152,0.559
17,Tonga ,OCEANIA                            ,114689,748,153.3,56.02,0.0,12.62,2200.0,98.5,97.7,23.61,43.06,33.33,2.0,25.37,5.28,0.23,0.27,0.5
6,Kiribati ,OCEANIA                            ,105432,811,130.0,140.94,0.0,48.52,800.0,,42.7,2.74,50.68,46.58,2.0,30.65,8.26,0.089,0.242,0.668
2,Cook Islands ,OCEANIA                            ,21388,240,89.1,50.0,,,5000.0,95.0,289.9,17.39,13.04,69.57,2.0,21.0,,0.151,0.096,0.753
4,French Polynesia ,OCEANIA                            ,274578,4167,65.9,60.6,2.94,8.44,17500.0,98.0,194.5,0.82,5.46,93.72,2.0,16.68,4.69,0.031,0.19,0.769
15,Samoa ,OCEANIA                            ,176908,2944,60.1,13.69,-11.7,27.71,5600.0,99.7,75.2,21.2,24.38,54.42,2.0,16.43,6.62,0.114,0.584,0.302
20,Wallis and Futuna ,OCEANIA                            ,16025,274,58.5,47.08,,,3700.0,50.0,118.6,5.0,25.0,70.0,2.0,,,,,
3,Fiji ,OCEANIA                            ,905949,18270,49.6,6.18,-3.14,12.62,5800.0,93.7,112.6,10.95,4.65,84.4,2.0,22.55,5.65,0.089,0.135,0.776
13,Palau ,OCEANIA                            ,20579,458,44.9,331.66,2.85,14.84,9000.0,92.0,325.6,8.7,4.35,86.95,2.0,18.03,6.8,0.062,0.12,0.818
16,Solomon Islands ,OCEANIA                            ,552438,28450,19.4,18.67,0.0,21.29,1700.0,,13.4,0.64,2.0,97.36,2.0,30.01,3.92,0.42,0.11,0.47
19,Vanuatu ,OCEANIA                            ,208869,12200,17.1,20.72,0.0,55.16,2900.0,53.0,32.6,2.46,7.38,90.16,2.0,22.72,7.82,0.26,0.12,0.62
11,New Zealand ,OCEANIA                            ,4076140,268680,15.2,5.63,4.05,5.85,21600.0,99.0,441.7,5.6,6.99,87.41,3.0,13.76,7.53,0.043,0.273,0.684
14,Papua New Guinea ,OCEANIA                            ,5670544,462840,12.3,1.11,0.0,51.45,2200.0,64.6,10.9,0.46,1.44,98.1,2.0,29.36,7.25,0.353,0.381,0.266
10,New Caledonia ,OCEANIA                            ,219246,19060,11.5,11.83,0.0,7.72,15000.0,91.0,252.2,0.38,0.33,99.29,2.0,18.11,5.69,0.15,0.088,0.762
7,Marshall Islands ,OCEANIA                            ,60422,11854,5.1,3.12,-6.04,29.45,1600.0,93.7,91.2,16.67,38.89,44.44,2.0,33.05,4.78,0.317,0.149,0.534
1,Australia ,OCEANIA                            ,20264082,7686850,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,1.0,12.14,7.51,0.038,0.262,0.7
